 time            v(vspike)      
 5.85029850e-03  6.30159644e-06 
 5.90416339e-03 -6.21309495e-06 
 5.95606620e-03  6.37712962e-06 
 6.01460644e-03 -6.45788307e-06 
 6.04834809e-03  6.85622396e-06 
 6.08379726e-03 -6.39993959e-06 
 6.11795823e-03  6.55708299e-06 
 6.14964518e-03 -6.37276529e-06 
 6.17665111e-03  6.43566223e-06 
 6.20504556e-03 -6.23651257e-06 
 6.22460392e-03  6.31818194e-06 
 6.24821306e-03 -6.14643058e-06 
 6.27634901e-03  6.21301529e-06 
 6.30541395e-03 -6.07726768e-06 
 6.34329183e-03  6.15963831e-06 
 6.41904761e-03 -6.07904427e-06 
 6.49668931e-03  6.21695837e-06 
 6.56485287e-03 -6.17097614e-06 
 6.63390380e-03  6.25491568e-06 
 6.73390380e-03 -6.11950592e-06 
 6.83390380e-03  6.18430471e-06 
 6.93390380e-03 -6.08683466e-06 
 6.96917673e-03  6.18929711e-06 
 6.98522928e-03 -6.52332124e-06 
 6.99113798e-03  5.56122715e-06 
 6.99304577e-03 -1.64692704e-07 
 6.99373181e-03  1.33378132e-07 
 6.99441166e-03 -4.08697766e-07 
 6.99459429e-03  8.53289135e-08 
 6.99464609e-03 -4.34409065e-07 
 6.99466919e-03  8.11943936e-08 
 6.99469334e-03 -4.36168426e-07 
 6.99471991e-03  7.68187685e-08 
 6.99477305e-03 -4.42466681e-07 
 6.99485714e-03  7.25714363e-08 
 6.99499209e-03 -4.64320251e-07 
 6.99523515e-03  6.79616706e-08 
 6.99572127e-03 -5.37956975e-07 
 6.99669352e-03  9.91406480e-08 
 6.99863801e-03 -5.65000620e-07 
 7.00056025e-03  4.20464342e-07 
 7.00338941e-03 -3.62226225e-07 
 7.00544129e-03  4.21287610e-07 
 7.00765017e-03 -3.61366034e-07 
 7.01206793e-03  4.22590369e-07 
 7.02090345e-03 -3.57986914e-07 
 7.02955351e-03  4.34936990e-07 
 7.03767376e-03 -3.57038852e-07 
 7.05293783e-03  4.31160158e-07 
 7.06372264e-03 -3.73155803e-07 
 7.07304759e-03  4.11126273e-07 
 7.08257358e-03 -3.71943151e-07 
 7.09948143e-03  4.26197873e-07 
 7.10826182e-03 -3.53424186e-07 
 7.11741556e-03  4.28668050e-07 
 7.12703704e-03 -3.62566062e-07 
 7.13679104e-03  4.23914803e-07 
 7.14828380e-03 -3.56257076e-07 
 7.16050435e-03  4.23671858e-07 
 7.17501215e-03 -3.68730239e-07 
 7.18944376e-03  4.20115933e-07 
 7.20633209e-03 -3.72436984e-07 
 7.22431559e-03  4.28652755e-07 
 7.23417366e-03 -3.52248938e-07 
 7.24417616e-03  4.21347063e-07 
 7.25177980e-03 -3.62919551e-07 
 7.25924844e-03  4.22725301e-07 
 7.26491665e-03 -3.44208026e-07 
 7.27088614e-03  4.26004445e-07 
 7.28223043e-03 -3.45722388e-07 
 7.29629011e-03  4.15145427e-07 
 7.31099690e-03 -3.58292296e-07 
 7.32486764e-03  4.10121497e-07 
 7.34399441e-03 -3.56606519e-07 
 7.36082158e-03  4.20537059e-07 
 7.37659723e-03 -3.78337114e-07 
 7.39503770e-03  4.15972066e-07 
 7.41397141e-03 -3.68860336e-07 
 7.43288162e-03  4.19566250e-07 
 7.46464096e-03 -3.63499799e-07 
 7.49399514e-03  4.34986752e-07 
 7.52739615e-03 -3.58342087e-07 
 7.58454394e-03  4.31854954e-07 
 7.62818813e-03 -3.61923526e-07 
 7.66979508e-03  4.19081784e-07 
 7.69668188e-03 -3.67158199e-07 
 7.72312046e-03  4.36942986e-07 
 7.73616103e-03 -3.50023014e-07 
 7.74881261e-03  4.19471367e-07 
 7.75874869e-03 -3.56495104e-07 
 7.76793272e-03  4.31851360e-07 
 7.77786124e-03 -3.53366089e-07 
 7.78760937e-03  4.22525913e-07 
 7.79880297e-03 -3.55863220e-07 
 7.81077172e-03  4.28355169e-07 
 7.82201707e-03 -3.57356292e-07 
 7.83743135e-03  4.20788507e-07 
 7.85194475e-03 -3.68259057e-07 
 7.86660015e-03  4.23697659e-07 
 7.89131157e-03 -3.67096280e-07 
 7.91367991e-03  4.22327196e-07 
 7.94992614e-03 -3.64816888e-07 
 8.02241860e-03  4.28172617e-07 
 8.11764715e-03 -3.54205835e-07 
 8.18044130e-03  4.20645835e-07 
 8.24188597e-03 -3.73552884e-07 
 8.29343857e-03  4.23820785e-07 
 8.34998115e-03 -3.69417746e-07 
 8.41003580e-03  4.37992008e-07 
 8.47324405e-03 -3.59649859e-07 
 8.54187807e-03  4.24875528e-07 
 8.61439752e-03 -3.62615120e-07 
 8.69092285e-03  4.27636970e-07 
 8.79092285e-03 -3.63718908e-07 
 8.89092285e-03  4.26456492e-07 
 8.99092285e-03 -3.68617513e-07 
 9.09092285e-03  4.33771677e-07 
 9.16405133e-03 -3.65503813e-07 
 9.23267923e-03  4.20804706e-07 
 9.28082826e-03 -3.61912945e-07 
 9.33114706e-03  4.31165618e-07 
 9.38039175e-03 -3.67829641e-07 
 9.42616804e-03  4.31467255e-07 
 9.49883146e-03 -3.66665604e-07 
 9.59883146e-03  4.30131621e-07 
 9.68547863e-03 -3.66756742e-07 
 9.77477071e-03  4.34063137e-07 
 9.86125144e-03 -3.55900048e-07 
 9.94734460e-03  4.21178334e-07 
 1.00240929e-02 -3.61235853e-07 
 1.00988434e-02  4.17918855e-07 
 1.01694659e-02 -3.55949488e-07 
 1.02247875e-02  4.18664486e-07 
 1.02764299e-02 -3.75030423e-07 
 1.03295318e-02  4.34016100e-07 
 1.03824696e-02 -3.61327698e-07 
 1.04381393e-02  4.32620301e-07 
 1.04880487e-02 -3.66711187e-07 
 1.05333246e-02  4.19888200e-07 
 1.05655605e-02 -3.67859994e-07 
 1.05968222e-02  4.38327307e-07 
 1.06250010e-02 -3.72757103e-07 
 1.06703861e-02  4.37358377e-07 
 1.07136463e-02 -3.72839578e-07 
 1.07789450e-02  4.39411931e-07 
 1.08539467e-02 -3.75198865e-07 
 1.09539467e-02  4.37477485e-07 
 1.10539467e-02 -3.77643421e-07 
 1.11410760e-02  4.44822983e-07 
 1.12063090e-02 -3.64986223e-07 
 1.12577248e-02  4.34226225e-07 
 1.13120538e-02 -3.75116858e-07 
 1.13585392e-02  4.33842609e-07 
 1.14021903e-02 -3.69551172e-07 
 1.14512625e-02  4.30837992e-07 
 1.15257255e-02 -3.78807132e-07 
 1.16257255e-02  4.35210797e-07 
 1.17009857e-02 -3.75260843e-07 
 1.17814766e-02  4.46138180e-07 
 1.18450321e-02 -3.63353104e-07 
 1.18974856e-02  4.36114923e-07 
 1.19447408e-02 -3.80890988e-07 
 1.20069087e-02  4.39584238e-07 
 1.20740426e-02 -3.87756779e-07 
 1.21116125e-02  4.45102209e-07 
 1.21512101e-02 -3.62420002e-07 
 1.21784219e-02  4.42428758e-07 
 1.22076712e-02 -3.69327710e-07 
 1.22353007e-02  4.34619421e-07 
 1.22626332e-02 -3.61988251e-07 
 1.22917538e-02  4.31887866e-07 
 1.23187024e-02 -3.68538639e-07 
 1.23582393e-02  4.30023447e-07 
 1.24180336e-02 -3.74281463e-07 
 1.25117479e-02  4.34697501e-07 
 1.26117479e-02 -3.80227353e-07 
 1.27117479e-02  4.45118704e-07 
 1.28117479e-02 -3.76952404e-07 
 1.29117479e-02  4.39002909e-07 
 1.30117479e-02 -3.70564743e-07 
 1.31117479e-02  4.36748295e-07 
 1.32117479e-02 -3.66738391e-07 
 1.33033655e-02  4.28381541e-07 
 1.34033655e-02 -3.59701339e-07 
 1.34699956e-02  4.26514098e-07 
 1.35317292e-02 -3.74099673e-07 
 1.35749541e-02  4.25549373e-07 
 1.36162439e-02 -3.65522187e-07 
 1.36679522e-02  4.31986030e-07 
 1.37094238e-02 -3.58014734e-07 
 1.37472100e-02  4.19344972e-07 
 1.38119577e-02 -3.65242792e-07 
 1.38673495e-02  4.20467953e-07 
 1.39669360e-02 -3.67403756e-07 
 1.40669360e-02  4.31439323e-07 
 1.41669360e-02 -3.50664477e-07 
 1.42487639e-02  4.19074493e-07 
 1.43388844e-02 -3.54624375e-07 
 1.44388844e-02  4.18129293e-07 
 1.45388844e-02 -3.62198671e-07 
 1.46388844e-02  4.23269850e-07 
 1.47388844e-02 -3.48653852e-07 
 1.48064685e-02  4.20318207e-07 
 1.48703544e-02 -3.69665739e-07 
 1.49089296e-02  4.13956330e-07 
 1.49492834e-02 -3.77777677e-07 
 1.49871758e-02  4.42808691e-07 
 1.50222913e-02 -3.71662240e-07 
 1.50703818e-02  4.44450915e-07 
 1.51147453e-02 -3.84669659e-07 
 1.51617439e-02  4.46784844e-07 
 1.52322933e-02 -3.84198646e-07 
 1.53179162e-02  4.49961244e-07 
 1.54059568e-02 -3.83114293e-07 
 1.54906731e-02  4.43864777e-07 
 1.55906731e-02 -3.74230125e-07 
 1.56906731e-02  4.37594445e-07 
 1.57906731e-02 -3.77525704e-07 
 1.58906731e-02  4.42470661e-07 
 1.59906731e-02 -3.70722245e-07 
 1.60906731e-02  4.35734880e-07 
 1.61906731e-02 -3.76263094e-07 
 1.62906731e-02  4.38377084e-07 
 1.63906731e-02 -3.76348679e-07 
 1.64906731e-02  4.40502305e-07 
 1.65906731e-02 -3.75602987e-07 
 1.66906731e-02  4.40425188e-07 
 1.67906731e-02 -3.81679638e-07 
 1.68906731e-02  4.43637434e-07 
 1.69906731e-02 -3.91839623e-07 
 1.70906731e-02  4.54178222e-07 
 1.71906731e-02 -3.75890170e-07 
 1.72771059e-02  4.43627834e-07 
 1.73702201e-02 -3.81664797e-07 
 1.74702201e-02  4.48026906e-07 
 1.75613760e-02 -3.74998804e-07 
 1.76503395e-02  4.40443408e-07 
 1.77448189e-02 -3.84173771e-07 
 1.78448189e-02  4.41810946e-07 
 1.79448189e-02 -1.89088001e-08 
 1.79729095e-02  4.99985584e+00 
 1.79846877e-02  5.00009469e+00 
 1.79917355e-02  4.99987826e+00 
 1.79974746e-02  5.00010175e+00 
 1.80036836e-02  4.99988403e+00 
 1.80161017e-02  5.00010534e+00 
 1.80409378e-02  4.99989008e+00 
 1.80753200e-02  5.00010650e+00 
 1.81374306e-02  4.99989301e+00 
 1.82067020e-02  5.00010642e+00 
 1.82734944e-02  4.99989029e+00 
 1.83331839e-02  5.00010270e+00 
 1.83927286e-02  4.99979194e+00 
 1.83944814e-02  4.99989581e+00 
 1.83979871e-02  4.99987329e+00 
 1.84049984e-02  4.99981194e+00 
 1.84122281e-02  4.99971693e+00 
 1.84236804e-02  4.99940885e+00 
 1.84324304e-02  4.99881402e+00 
 1.84434428e-02  4.99644152e+00 
 1.84550263e-02  4.98370204e+00 
 1.84596180e-02  4.95934115e+00 
 1.84599641e-02  4.95494637e+00 
 1.84606563e-02  4.94321017e+00 
 1.84614962e-02  4.91564350e+00 
 1.84618892e-02  4.88725590e+00 
 1.84621536e-02  4.84222404e+00 
 1.84623241e-02  4.76265990e+00 
 1.84625283e-02  4.44905602e+00 
 1.84625515e-02  4.38102268e+00 
 1.84625979e-02  4.22243909e+00 
 1.84626906e-02  3.71998333e+00 
 1.84627224e-02  3.21712411e+00 
 1.84627240e-02  3.17247878e+00 
 1.84627273e-02  3.07337410e+00 
 1.84627337e-02  2.81815623e+00 
 1.84627402e-02  2.48359580e+00 
 1.84627438e-02  2.26295381e+00 
 1.84627461e-02  2.11965957e+00 
 1.84627475e-02  2.03443392e+00 
 1.84627489e-02  1.96991395e+00 
 1.84627499e-02  1.93068577e+00 
 1.84627511e-02  1.84303236e+00 
 1.84627519e-02  1.77290935e+00 
 1.84627529e-02  1.68575570e+00 
 1.84627538e-02  1.59686428e+00 
 1.84627550e-02  1.48245793e+00 
 1.84627572e-02  1.24926316e+00 
 1.84627607e-02  9.34932539e-01 
 1.84627649e-02  7.17330927e-01 
 1.84627695e-02  6.08642745e-01 
 1.84627746e-02  5.00273450e-01 
 1.84627809e-02  3.55610191e-01 
 1.84627836e-02  2.86523574e-01 
 1.84627854e-02  2.35359960e-01 
 1.84627869e-02  1.84670928e-01 
 1.84627881e-02  1.42186261e-01 
 1.84627892e-02  9.67751690e-02 
 1.84627902e-02  5.62682558e-02 
 1.84627910e-02  2.60822170e-02 
 1.84627920e-02  7.52806823e-03 
 1.84627927e-02  3.49916522e-03 
 1.84627934e-02  1.08922950e-03 
 1.84627945e-02  9.39158863e-04 
 1.84627962e-02  2.38901247e-04 
 1.84627985e-02  2.80216227e-04 
 1.84628010e-02 -9.42674063e-05 
 1.84628034e-02  1.13933598e-04 
 1.84628065e-02 -1.24304993e-04 
 1.84628105e-02  8.54055963e-05 
 1.84628175e-02 -1.16979895e-04 
 1.84628278e-02  8.56608371e-05 
 1.84628429e-02 -1.06757564e-04 
 1.84628598e-02  9.05125644e-05 
 1.84628734e-02 -9.90708969e-05 
 1.84628857e-02  9.07758479e-05 
 1.84628982e-02 -9.40295646e-05 
 1.84629116e-02  8.95714972e-05 
 1.84629241e-02 -9.02310235e-05 
 1.84629366e-02  8.75154896e-05 
 1.84629486e-02 -8.69824471e-05 
 1.84629608e-02  8.50787674e-05 
 1.84629728e-02 -8.40488208e-05 
 1.84629850e-02  8.25444667e-05 
 1.84629969e-02 -8.13065211e-05 
 1.84630090e-02  8.00056650e-05 
 1.84630210e-02 -7.86954656e-05 
 1.84630330e-02  7.75095990e-05 
 1.84630450e-02 -7.61885509e-05 
 1.84630581e-02  7.51775469e-05 
 1.84630733e-02 -7.41210082e-05 
 1.84630908e-02  7.34284237e-05 
 1.84631114e-02 -7.26232630e-05 
 1.84631360e-02  7.21818367e-05 
 1.84631666e-02 -7.15996136e-05 
 1.84632057e-02  7.13765979e-05 
 1.84632599e-02 -7.09902764e-05 
 1.84633396e-02  7.09464486e-05 
 1.84634789e-02 -7.07099273e-05 
 1.84637573e-02  7.07795277e-05 
 1.84643142e-02 -7.05933494e-05 
 1.84654280e-02  7.06565259e-05 
 1.84676557e-02 -7.04045714e-05 
 1.84721109e-02  7.03120355e-05 
 1.84810214e-02 -6.98081672e-05 
 1.84883386e-02  6.96420058e-05 
 1.84982425e-02 -6.92387348e-05 
 1.85117135e-02  6.89675793e-05 
 1.85227038e-02 -6.86038883e-05 
 1.85321608e-02  6.84926853e-05 
 1.85429095e-02 -6.82139246e-05 
 1.85523440e-02  6.81739460e-05 
 1.85624253e-02 -6.80113703e-05 
 1.85724824e-02  6.80296066e-05 
 1.85826070e-02 -6.79364457e-05 
 1.85912912e-02  6.79946813e-05 
 1.85999570e-02 -6.79310890e-05 
 1.86070373e-02  6.79762070e-05 
 1.86151597e-02 -6.78527301e-05 
 1.86283277e-02  6.78254859e-05 
 1.86425186e-02 -6.76336505e-05 
 1.86558603e-02  6.76415391e-05 
 1.86684219e-02 -6.75673102e-05 
 1.86773716e-02  6.76420087e-05 
 1.86863032e-02 -6.75946678e-05 
 1.86966525e-02  6.76640047e-05 
 1.87070834e-02 -6.75912527e-05 
 1.87183693e-02  6.76687064e-05 
 1.87377216e-02 -6.77003998e-05 
 1.87544052e-02  6.79155204e-05 
 1.87672212e-02 -6.80010727e-05 
 1.87803087e-02  6.81257584e-05 
 1.87888590e-02 -6.80513368e-05 
 1.87971091e-02  6.80911320e-05 
 1.88077331e-02 -6.79471247e-05 
 1.88182087e-02  6.79319362e-05 
 1.88359096e-02 -6.76856413e-05 
 1.88479142e-02  6.76647576e-05 
 1.88604037e-02 -6.75331658e-05 
 1.88680133e-02  6.75925347e-05 
 1.88757954e-02 -6.75574480e-05 
 1.88855535e-02  6.76344690e-05 
 1.88951136e-02 -6.75638522e-05 
 1.89039980e-02  6.76170215e-05 
 1.89178881e-02 -6.75223077e-05 
 1.89429888e-02  6.76061104e-05 
 1.89736297e-02 -6.77288872e-05 
