 time            v(vin)          v(vmem)        
 4.75364278e-03  8.96466803e-01  3.61995100e-03 
 4.79151450e-03  9.96753915e-01  3.62900049e-03 
 4.82595375e-03  9.87190233e-01  3.63722990e-03 
 4.86496444e-03  1.05857019e+00  3.64654176e-03 
 4.90363791e-03  1.01715338e+00  3.65577850e-03 
 4.92953265e-03  8.51103630e-01  3.66196376e-03 
 4.95465271e-03  8.58157455e-01  3.66795824e-03 
 4.97188620e-03  8.40216880e-01  3.67207052e-03 
 4.98331239e-03  8.38019571e-01  3.67321006e-03 
 4.98745776e-03  8.56709786e-01  3.14830914e-03 
 4.98936196e-03  8.65295286e-01  2.26859366e-03 
 4.99007925e-03  8.68529312e-01  2.51666822e-03 
 4.99082574e-03  8.71895003e-01  2.49026873e-03 
 4.99140965e-03  8.74527695e-01  2.47542404e-03 
 4.99202836e-03  8.77317280e-01  2.46353167e-03 
 4.99326579e-03  8.82896450e-01  2.44753021e-03 
 4.99574063e-03  8.94054790e-01  2.43594993e-03 
 4.99878097e-03  9.07762782e-01  2.44224224e-03 
 5.00142424e-03  9.26640049e-01  2.44826849e-03 
 5.00433870e-03  9.54022153e-01  2.45469259e-03 
 5.00675045e-03  9.76681127e-01  2.45988888e-03 
 5.00986878e-03  1.00597861e+00  2.46641455e-03 
 5.01610543e-03  1.06457357e+00  2.47888978e-03 
 5.02412719e-03  1.05890115e+00  2.49458511e-03 
 5.03354844e-03  9.62426579e-01  2.51175197e-03 
 5.05239095e-03  8.70281528e-01  2.54339180e-03 
 5.07384713e-03  8.39953612e-01  2.57432420e-03 
 5.09479961e-03  8.27335983e-01  2.59772119e-03 
 5.11265784e-03  8.77568311e-01  2.61200844e-03 
 5.13118889e-03  9.09709684e-01  2.62242554e-03 
 5.15469740e-03  8.93325356e-01  2.63186211e-03 
 5.17635851e-03  8.99469158e-01  2.63870406e-03 
 5.21968072e-03  9.38842586e-01  2.65093932e-03 
 5.26243565e-03  1.06062937e+00  2.66239706e-03 
 5.29518329e-03  9.06834452e-01  2.67113353e-03 
 5.32976895e-03  8.64063453e-01  2.68032679e-03 
 5.36446646e-03  8.78968581e-01  2.68956619e-03 
 5.39261040e-03  9.95569425e-01  2.69704460e-03 
 5.41929939e-03  9.89688617e-01  2.70415347e-03 
 5.45245805e-03  9.71595511e-01  2.71296666e-03 
 5.48954691e-03  8.64036264e-01  2.72284911e-03 
 5.52355500e-03  9.30285960e-01  2.73188708e-03 
 5.55905817e-03  9.20241714e-01  2.74134032e-03 
 5.60605512e-03  9.74148540e-01  2.75383593e-03 
 5.67103366e-03  1.05105370e+00  2.77114264e-03 
 5.73134406e-03  9.63338311e-01  2.78719284e-03 
 5.79248835e-03  8.99192105e-01  2.80348583e-03 
 5.85029850e-03  9.72512865e-01  2.81887997e-03 
 5.90416339e-03  1.07905337e+00  2.83323259e-03 
 5.95606620e-03  1.12264101e+00  2.84705329e-03 
 6.01460644e-03  1.17154052e+00  2.86266780e-03 
 6.04834809e-03  1.03183721e+00  2.87165207e-03 
 6.08379726e-03  9.82709273e-01  2.88111755e-03 
 6.11795823e-03  1.13865576e+00  2.89021422e-03 
 6.14964518e-03  9.85144402e-01  2.89866968e-03 
 6.17665111e-03  8.34358420e-01  2.90586233e-03 
 6.20504556e-03  6.98305439e-01  2.91344210e-03 
 6.22460392e-03  8.89209768e-01  2.91864655e-03 
 6.24821306e-03  9.11584686e-01  2.92495195e-03 
 6.27634901e-03  8.48528327e-01  2.93244945e-03 
 6.30541395e-03  9.06029414e-01  2.94021032e-03 
 6.34329183e-03  8.99628234e-01  2.95030566e-03 
 6.41904761e-03  9.58085181e-01  2.97052660e-03 
 6.49668931e-03  9.93396506e-01  2.99123460e-03 
 6.56485287e-03  9.42124297e-01  3.00943210e-03 
 6.63390380e-03  9.46842529e-01  3.02785062e-03 
 6.73390380e-03  8.95227408e-01  3.05455005e-03 
 6.83390380e-03  8.66213915e-01  3.08123951e-03 
 6.93390380e-03  8.87552379e-01  3.10796203e-03 
