 time            v(vin)          v(vdata)       
 4.75364278e-03  8.96466803e-01  2.12957874e+00 
 4.79151450e-03  9.96753915e-01  2.12526349e+00 
 4.82595375e-03  9.87190233e-01  2.13516842e+00 
 4.86496444e-03  1.05857019e+00  2.15655914e+00 
 4.90363791e-03  1.01715338e+00  2.17863713e+00 
 4.92953265e-03  8.51103630e-01  2.18503611e+00 
 4.95465271e-03  8.58157455e-01  2.17790679e+00 
 4.97188620e-03  8.40216880e-01  2.16682383e+00 
 4.98331239e-03  8.38019571e-01  2.15787824e+00 
 4.98745776e-03  8.56709786e-01  2.15442563e+00 
 4.98936196e-03  8.65295286e-01  2.15282062e+00 
 4.99007925e-03  8.68529312e-01  2.15221518e+00 
 4.99082574e-03  8.71895003e-01  2.15158572e+00 
 4.99140965e-03  8.74527695e-01  2.15109343e+00 
 4.99202836e-03  8.77317280e-01  2.15057290e+00 
 4.99326579e-03  8.82896450e-01  2.14953464e+00 
 4.99574063e-03  8.94054790e-01  2.14747974e+00 
 4.99878097e-03  9.07762782e-01  2.14501346e+00 
 5.00142424e-03  9.26640049e-01  2.14294602e+00 
 5.00433870e-03  9.54022153e-01  2.14078838e+00 
 5.00675045e-03  9.76681127e-01  2.13913364e+00 
 5.00986878e-03  1.00597861e+00  2.13722202e+00 
 5.01610543e-03  1.06457357e+00  2.13436684e+00 
 5.02412719e-03  1.05890115e+00  2.13277818e+00 
 5.03354844e-03  9.62426579e-01  2.13315323e+00 
 5.05239095e-03  8.70281528e-01  2.13393172e+00 
 5.07384713e-03  8.39953612e-01  2.12915460e+00 
 5.09479961e-03  8.27335983e-01  2.11864239e+00 
 5.11265784e-03  8.77568311e-01  2.10805034e+00 
 5.13118889e-03  9.09709684e-01  2.09938687e+00 
 5.15469740e-03  8.93325356e-01  2.09401682e+00 
 5.17635851e-03  8.99469158e-01  2.09266657e+00 
 5.21968072e-03  9.38842586e-01  2.09690997e+00 
 5.26243565e-03  1.06062937e+00  2.11734939e+00 
 5.29518329e-03  9.06834452e-01  2.13827434e+00 
 5.32976895e-03  8.64063453e-01  2.14290210e+00 
 5.36446646e-03  8.78968581e-01  2.12878024e+00 
 5.39261040e-03  9.95569425e-01  2.11854284e+00 
 5.41929939e-03  9.89688617e-01  2.12024068e+00 
 5.45245805e-03  9.71595511e-01  2.13091707e+00 
 5.48954691e-03  8.64036264e-01  2.13420057e+00 
 5.52355500e-03  9.30285960e-01  2.12518161e+00 
 5.55905817e-03  9.20241714e-01  2.11441463e+00 
